Attribute,Group,Outcome,Count,Actual positives,Actual negatives,Predicted positives,TP,FN,FP,TN,Observed outcome rate,Selection rate,Selection low,Selection high,TPR,TPR low,TPR high,FPR,FPR low,FPR high,FNR,Precision,Group accuracy,Group macro F1,Small group,Sparse outcome support
Gender,0,Dropout,571,134,437,110,94,40,16,421,0.23467600700525393,0.19264448336252188,0.16239331463411205,0.227003694907299,0.7014925373134329,0.6192776310875563,0.772476382214669,0.036613272311212815,0.022660195809626152,0.058642476170513644,0.29850746268656714,0.8545454545454545,0.7793345008756567,0.7260098395029039,False,False
Gender,0,Enrolled,571,96,475,126,61,35,65,410,0.1681260945709282,0.22066549912434325,0.18858000781131457,0.25648451083173424,0.6354166666666666,0.5356504026503102,0.7247620907392187,0.1368421052631579,0.10883474536960663,0.17067647504232086,0.3645833333333333,0.48412698412698413,0.7793345008756567,0.7260098395029039,False,False
Gender,0,Graduate,571,341,230,335,290,51,45,185,0.5971978984238179,0.5866900175131349,0.545851097781692,0.6263702585014997,0.8504398826979472,0.8086917308680927,0.8843801026925914,0.1956521739130435,0.14956051520125518,0.25174361545813134,0.1495601173020528,0.8656716417910447,0.7793345008756567,0.7260098395029039,False,False
Gender,1,Dropout,314,150,164,132,114,36,18,146,0.47770700636942676,0.42038216560509556,0.36706794994910896,0.47562098693014165,0.76,0.6857071477257108,0.8213078599185155,0.10975609756097561,0.07056134422160837,0.16681484856969012,0.24,0.8636363636363636,0.7292993630573248,0.6953994892366132,False,False
Gender,1,Enrolled,314,63,251,80,35,28,45,206,0.20063694267515925,0.25477707006369427,0.20974511816988428,0.3057368074182074,0.5555555555555556,0.43319420640871287,0.6715309946636732,0.17928286852589642,0.1367736800996006,0.23146133333619642,0.4444444444444444,0.4375,0.7292993630573248,0.6953994892366132,False,False
Gender,1,Graduate,314,101,213,102,80,21,22,191,0.321656050955414,0.3248407643312102,0.2754283325478962,0.37848732858645495,0.7920792079207921,0.7029607096328665,0.8597930064492993,0.10328638497652583,0.06920213731653324,0.15142711463512182,0.2079207920792079,0.7843137254901961,0.7292993630573248,0.6953994892366132,False,False
Age group,20–24,Dropout,274,79,195,62,54,25,8,187,0.28832116788321166,0.22627737226277372,0.1807160445892836,0.2794079973108495,0.6835443037974683,0.5745170514704335,0.7755486160202957,0.041025641025641026,0.02093225443924931,0.07885370584270375,0.31645569620253167,0.8709677419354839,0.7408759124087592,0.7216146937395971,False,False
Age group,20–24,Enrolled,274,63,211,86,43,20,43,168,0.22992700729927007,0.31386861313868614,0.2618138984197941,0.37107045007229633,0.6825396825396826,0.559962360918752,0.7841347283190879,0.2037914691943128,0.15496363704958327,0.26321235866074466,0.31746031746031744,0.5,0.7408759124087592,0.7216146937395971,False,False
Age group,20–24,Graduate,274,132,142,126,106,26,20,122,0.48175182481751827,0.45985401459854014,0.40180304201967143,0.5190151507923481,0.803030303030303,0.7270324134183684,0.8618888007016065,0.14084507042253522,0.09306085211498924,0.20755022181727698,0.19696969696969696,0.8412698412698413,0.7408759124087592,0.7216146937395971,False,False
Age group,25–34,Dropout,154,91,63,87,79,12,8,55,0.5909090909090909,0.564935064935065,0.48599539739112657,0.6407139111815183,0.8681318681318682,0.7835113710706528,0.9229296843311962,0.12698412698412698,0.06577246340780174,0.2310726151061776,0.13186813186813187,0.9080459770114943,0.8116883116883117,0.738969580707043,False,False
Age group,25–34,Enrolled,154,23,131,25,12,11,13,118,0.14935064935064934,0.16233766233766234,0.11244242622704335,0.2286691691952027,0.5217391304347826,0.3296242986421849,0.7076313046005427,0.09923664122137404,0.05891432592747981,0.16239423166898892,0.4782608695652174,0.48,0.8116883116883117,0.738969580707043,False,False
Age group,25–34,Graduate,154,40,114,42,34,6,8,106,0.2597402597402597,0.2727272727272727,0.20855911916901462,0.34795830082672785,0.85,0.7092737396097997,0.9293890829149256,0.07017543859649122,0.03598491232451978,0.13239026248641286,0.15,0.8095238095238095,0.8116883116883117,0.738969580707043,False,False
Age group,35+,Dropout,81,39,42,37,34,5,3,39,0.48148148148148145,0.4567901234567901,0.352731535009501,0.564761770161547,0.8717948717948718,0.7329395096236953,0.9439726505197168,0.07142857142857142,0.024589963551172864,0.19009713288525165,0.1282051282051282,0.918918918918919,0.7901234567901234,0.6918964076858813,False,False
Age group,35+,Enrolled,81,10,71,11,4,6,7,64,0.12345679012345678,0.13580246913580246,0.07755383801327821,0.2270325912855563,0.4,0.16817758120350967,0.6873304525498135,0.09859154929577464,0.048582206325328975,0.18980927648636933,0.6,0.36363636363636365,0.7901234567901234,0.6918964076858813,False,False
Age group,35+,Graduate,81,32,49,33,26,6,7,42,0.3950617283950617,0.4074074074074074,0.30696108658374566,0.5162388530685003,0.8125,0.6469050424507756,0.9111057606383721,0.14285714285714285,0.07096333720544586,0.2666797318916292,0.1875,0.7878787878787878,0.7901234567901234,0.6918964076858813,False,False
Age group,Under 20,Dropout,376,75,301,56,41,34,15,286,0.19946808510638298,0.14893617021276595,0.11650674158164295,0.18846669997926033,0.5466666666666666,0.4344817369914825,0.6543038787240788,0.04983388704318937,0.030429158630726982,0.08058456128151596,0.4533333333333333,0.7321428571428571,0.75,0.6633716842294621,False,False
Age group,Under 20,Enrolled,376,63,313,84,37,26,47,266,0.1675531914893617,0.22340425531914893,0.18421954424631973,0.2681837733471192,0.5873015873015873,0.46415095351811103,0.7004172195956385,0.1501597444089457,0.11483829052341696,0.19396459394629914,0.4126984126984127,0.44047619047619047,0.75,0.6633716842294621,False,False
Age group,Under 20,Graduate,376,238,138,236,204,34,32,106,0.6329787234042553,0.6276595744680851,0.5777344557361381,0.6750024746053516,0.8571428571428571,0.8070033389455079,0.895936105715791,0.2318840579710145,0.16931213470916084,0.3089791423209911,0.14285714285714285,0.864406779661017,0.75,0.6633716842294621,False,False
Scholarship holder,0,Dropout,652,256,396,217,191,65,26,370,0.39263803680981596,0.3328220858895706,0.2977232436074464,0.3698794214263057,0.74609375,0.6894086206103858,0.7955021865890772,0.06565656565656566,0.045196079171672135,0.09446322591314145,0.25390625,0.880184331797235,0.7361963190184049,0.7082468840887169,False,False
Scholarship holder,0,Enrolled,652,125,527,177,79,46,98,429,0.19171779141104295,0.2714723926380368,0.23874837615652594,0.30687361549511677,0.632,0.5446970725427289,0.7114313828629786,0.1859582542694497,0.15505475940002186,0.22140707026818798,0.368,0.4463276836158192,0.7361963190184049,0.7082468840887169,False,False
Scholarship holder,0,Graduate,652,271,381,258,210,61,48,333,0.4156441717791411,0.39570552147239263,0.3588859981373868,0.43374685711302724,0.7749077490774908,0.7215394574055874,0.8205909915511936,0.12598425196850394,0.09635446318770538,0.16308110718722288,0.22509225092250923,0.813953488372093,0.7361963190184049,0.7082468840887169,False,False
Scholarship holder,1,Dropout,233,28,205,25,17,11,8,197,0.12017167381974249,0.1072961373390558,0.07373845588384957,0.15359322909041173,0.6071428571428571,0.42408726034906297,0.7643454817241996,0.03902439024390244,0.019904392827067848,0.0751034983210559,0.39285714285714285,0.68,0.8326180257510729,0.698492562643506,False,False
Scholarship holder,1,Enrolled,233,34,199,29,17,17,12,187,0.1459227467811159,0.12446351931330472,0.08807361505952976,0.17303591975192228,0.5,0.34069062628048985,0.6593093737195102,0.06030150753768844,0.0348276786628272,0.10243016193791744,0.5,0.5862068965517241,0.8326180257510729,0.698492562643506,False,False
Scholarship holder,1,Graduate,233,171,62,179,160,11,19,43,0.7339055793991416,0.7682403433476395,0.7099739948729236,0.817804908833182,0.935672514619883,0.888495316776368,0.9637046173354223,0.3064516129032258,0.20581430019850633,0.4296745093079456,0.06432748538011696,0.8938547486033519,0.8326180257510729,0.698492562643506,False,False
Debtor,0,Dropout,767,212,555,178,149,63,29,526,0.27640156453715775,0.2320730117340287,0.20357634139704886,0.263240187446231,0.7028301886792453,0.6381434093780791,0.7602969283510705,0.05225225225225225,0.03662459813869352,0.07403573924492286,0.2971698113207547,0.8370786516853933,0.7614080834419817,0.7155976693533775,False,False
