Attribute,Outcome,Groups observed,Minimum group count,Demographic parity difference,Selection min/max ratio,TPR difference,FPR difference,Equalised odds difference,Any small group,Any sparse outcome support
Gender,Dropout,2,314,0.22773768224257368,0.4582603619381202,0.05850746268656715,0.07314282524976279,0.07314282524976279,False,False
Gender,Enrolled,2,314,0.03411157093935102,0.8661120840630473,0.07986111111111105,0.04244076326273852,0.07986111111111105,False,False
Gender,Graduate,2,314,0.2618492531819247,0.5536838102481224,0.05836067477715512,0.09236578893651766,0.09236578893651766,False,False
Age group,Dropout,4,81,0.415998894722299,0.2636341403766202,0.32512820512820517,0.08595848595848596,0.32512820512820517,False,False
Age group,Enrolled,4,81,0.17806614400288368,0.43267298306057994,0.28253968253968254,0.10519991989853815,0.28253968253968254,False,False
Age group,Graduate,4,81,0.35493230174081236,0.4345146379044684,0.05411255411255411,0.16170861937452327,0.16170861937452327,False,False
Scholarship holder,Dropout,2,233,0.22552594855051478,0.32238286426296947,0.1389508928571429,0.026632175412663224,0.1389508928571429,False,False
Scholarship holder,Enrolled,2,233,0.14700887332473206,0.4584757886569191,0.132,0.12565674673176125,0.132,False,False
Scholarship holder,Graduate,2,233,0.37253482187524684,0.5150803715255167,0.16076476554239216,0.18046736093472188,0.18046736093472188,False,False
Debtor,Dropout,2,118,0.3102998696219035,0.4278846153846154,0.11661425576519913,0.05644339992166079,0.11661425576519913,False,False
Debtor,Enrolled,2,118,0.043676662320730114,0.8169398907103825,0.08796992481203014,0.023391812865497075,0.08796992481203014,False,False
Debtor,Graduate,2,118,0.26662320730117334,0.4963054187192119,0.06318607764390893,0.05204170829170829,0.06318607764390893,False,False
Tuition fees up to date,Dropout,2,110,0.7258651026392962,0.2015483870967742,0.3704817599554442,0.4205915813424346,0.4205915813424346,False,False
Tuition fees up to date,Enrolled,2,110,0.22428152492668618,0.13951395139513953,0.1832706766917293,0.1652511337250074,0.1832706766917293,False,True
Tuition fees up to date,Graduate,2,110,0.50158357771261,0.09808057371862475,0.3433179723502304,0.1710079926398712,0.3433179723502304,False,True
Gender × Age,Dropout,8,36,0.5983367296359531,0.16482164821648218,0.396914446002805,0.2339608144448713,0.396914446002805,False,False
Gender × Age,Enrolled,8,36,0.3218029350104822,0.1472222222222222,0.4789915966386554,0.26928953399541633,0.4789915966386554,False,True
Gender × Age,Graduate,8,36,0.496007049622735,0.2811876446643787,0.2614942528735632,0.24412416851441243,0.2614942528735632,False,False
