Experiment,Model,Representation,CV macro F1,CV macro F1 SD,Training macro F1,CV balanced accuracy,Validation macro F1,Validation accuracy,Validation balanced accuracy,Validation Dropout precision,Validation Dropout recall,Validation Enrolled F1,Validation Enrolled recall,Search seconds,Best parameters,Training–CV gap
Random forest | Full,Random forest,Full,0.7095661972064484,0.018074886582833252,0.8211430481812532,0.7134260232836376,0.7287457288370339,0.768361581920904,0.7381761660966301,0.853448275862069,0.6971830985915493,0.5593667546174143,0.6666666666666666,21.471406361088157,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_leaf': 5}",0.11157685097480474
Logistic regression | Full,Logistic regression,Full,0.7075355692631323,0.021320386862609945,0.7542322556017217,0.7161624591908925,0.7247306416421471,0.7627118644067796,0.7353281541702857,0.8418803418803419,0.6936619718309859,0.5616797900262467,0.6729559748427673,7.575046427547932,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.046696686338589366
RBF SVM | Full,RBF SVM,Full,0.7036086799901926,0.014011045479786452,0.87812379090034,0.7068983861336656,0.690874801127209,0.7333333333333333,0.70019962303966,0.8,0.676056338028169,0.5025906735751295,0.610062893081761,31.985751731321216,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.17451511091014738
Random forest | Selected,Random forest,Selected,0.7028748738678601,0.017556472598005156,0.8498589308945483,0.7049845742114565,0.723790971337318,0.7661016949152543,0.7293696582866676,0.8458333333333333,0.7147887323943662,0.5439560439560439,0.6226415094339622,46.262163538485765,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 5}",0.14698405702668826
Logistic regression | PCA,Logistic regression,PCA,0.7025891888375722,0.01893162260202491,0.7262331187147362,0.7117777301806743,0.7168524543319806,0.752542372881356,0.7294635509920561,0.8412017167381974,0.6901408450704225,0.5524296675191815,0.6792452830188679,6.777993543073535,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.023643929877164016
Logistic regression | Selected,Logistic regression,Selected,0.7006099717961685,0.021007314499196923,0.7105254265432477,0.7110332709162226,0.7097270539600636,0.7446327683615819,0.7253580582120076,0.8611111111111112,0.6549295774647887,0.5436893203883495,0.7044025157232704,23.915082132443786,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.009915454747079222
Gradient boosting | Full,Gradient boosting,Full,0.696002363014938,0.017127859543821934,0.8155468012721185,0.6880510338307231,0.7134826781073658,0.7830508474576271,0.7036025071189442,0.8066914498141264,0.7640845070422535,0.48727272727272725,0.42138364779874216,43.970764914527535,"{'model__learning_rate': 0.05, 'model__max_depth': 3}",0.11954443825718053
RBF SVM | PCA,RBF SVM,PCA,0.6877676210126363,0.015585581239779121,0.8068416818872173,0.6946183658832616,0.6948527496586534,0.7310734463276836,0.7091772821204908,0.8333333333333334,0.6514084507042254,0.5219512195121951,0.6729559748427673,20.781618366017938,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.11907406087458094
Gradient boosting | Selected,Gradient boosting,Selected,0.6789922105378183,0.020484439642141743,0.8636292931915135,0.6726645588722082,0.6979304834256977,0.7694915254237288,0.6914485957646139,0.782608695652174,0.7605633802816901,0.45936395759717313,0.4088050314465409,37.619243424385786,"{'model__learning_rate': 0.1, 'model__max_depth': 3}",0.18463708265369516
Dummy | Full,Dummy,Full,0.22199888330541598,0.0001116694584031186,0.22199883068078904,0.3333333333333333,0.22205476011052497,0.4994350282485876,0.3333333333333333,0.0,0.0,0.0,0.0,3.3149271812289953,{},-5.26246269338948e-08
