,Non-missing count,Mean,Standard deviation,Minimum,Q1,Median,Q3,Maximum,Missing count,Missing (%),Unique values,IQR,Skewness
Previous qualification (grade),4424.0,132.6133137432188,13.188331685876285,95.0,125.0,133.1,140.0,190.0,0,0.0,101,15.0,0.31286748806115344
Admission grade,4424.0,126.97811934900544,14.482000818849485,95.0,117.9,126.1,134.8,190.0,0,0.0,620,16.900000000000006,0.5305998610691228
Age at enrollment,4424.0,23.265144665461122,7.587815615029819,17.0,19.0,20.0,25.0,70.0,0,0.0,46,6.0,2.0549883694238757
Curricular units 1st sem (credited),4424.0,0.7099909584086799,2.3605066191181483,0.0,0.0,0.0,0.0,20.0,0,0.0,21,0.0,4.169048768133995
Curricular units 1st sem (enrolled),4424.0,6.2705696202531644,2.480178175307104,0.0,5.0,6.0,7.0,26.0,0,0.0,23,2.0,1.6190409058476551
Curricular units 1st sem (evaluations),4424.0,8.299050632911392,4.1791055691439825,0.0,6.0,8.0,10.0,45.0,0,0.0,35,4.0,0.9766367042003191
Curricular units 1st sem (approved),4424.0,4.706600361663653,3.094237979694002,0.0,3.0,5.0,6.0,26.0,0,0.0,23,3.0,0.7662623977563179
Curricular units 1st sem (grade),4424.0,10.640821575154185,4.843663380663773,0.0,11.0,12.285714285714286,13.4,18.875,0,0.0,805,2.4000000000000004,-1.568145594413272
Curricular units 1st sem (without evaluations),4424.0,0.13765822784810128,0.6908801837297883,0.0,0.0,0.0,0.0,12.0,0,0.0,11,0.0,8.207403102428648
Curricular units 2nd sem (credited),4424.0,0.5418173598553345,1.9185461437102433,0.0,0.0,0.0,0.0,19.0,0,0.0,19,0.0,4.634819505432633
Curricular units 2nd sem (enrolled),4424.0,6.232142857142857,2.195950751463278,0.0,5.0,6.0,7.0,23.0,0,0.0,22,2.0,0.7881135037395065
Curricular units 2nd sem (evaluations),4424.0,8.063291139240507,3.947950941437388,0.0,6.0,8.0,10.0,33.0,0,0.0,30,4.0,0.33649717718772926
Curricular units 2nd sem (approved),4424.0,4.435804701627487,3.014763902385565,0.0,2.0,5.0,6.0,20.0,0,0.0,20,4.0,0.3062793835136138
Curricular units 2nd sem (grade),4424.0,10.230205722716985,5.210807954644242,0.0,10.75,12.2,13.333333333333334,18.571428571428573,0,0.0,786,2.583333333333334,-1.3136501682968424
Curricular units 2nd sem (without evaluations),4424.0,0.15031645569620253,0.753774068513021,0.0,0.0,0.0,0.0,12.0,0,0.0,10,0.0,7.267700851141788
Unemployment rate,4424.0,11.56613924050633,2.6638504843026367,7.6,9.4,11.1,13.9,16.2,0,0.0,10,4.5,0.21205105322727916
Inflation rate,4424.0,1.228028933092224,1.3827106915401046,-0.8,0.3,1.4,2.6,3.7,0,0.0,9,2.3000000000000003,0.25237535194482436
GDP,4424.0,0.001968806509945778,2.2699354412537627,-4.06,-1.7,0.32,1.79,3.51,0,0.0,10,3.49,-0.39406820694532085
