,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
num__Previous qualification (grade),-0.0026419135961804597,0.10343288307854495,0.02788497485232483,0.09358672976085637,-0.340060768883945,0.5387889622513445,-0.23228690668392862,-0.008853243804034685,0.027569442759713444,0.05888188822080875,0.0981918116731397,0.0773524111370876,-0.0776406228258805,0.22826442114318582,-0.4707705097102214,-0.06746266979383994,-0.2885417041342439,0.31335719845690885,0.07855594700884634,-0.10836620627026883,0.034672667182195846,0.010475009229112922,-0.012863094037301218,0.027146356584272627,-0.013197409019817382,-0.04204446718567681,-0.05075515928486196,0.006372978728057834,0.02552316428433674,0.0047884197800916704,-0.04662028324259845,-0.025287851722366025,-0.003675345021316912,-0.015714021442769132,-0.012750666817057818,-0.002118353720652266,-0.017397643087215375,-0.00816227952957519,0.0007430320912469397,0.026542694718923485,0.017220901432547703,0.010345249932330314,0.004390960439204783,-0.00420774273222614,-0.00484747206290004,-0.0037764363376565292,0.026139786150918613,-0.01923750080980835,-0.014205315678488512,-0.0035171268484855693
num__Admission grade,-0.008444613405683872,0.10997069741024218,0.07583750284679998,0.09488663130808908,-0.3073620074304356,0.5354362978349778,-0.2270126727107849,0.14795488878849963,-0.024947649634515814,0.055354414917050475,0.04824015981139722,0.04284213073922267,0.005824490890976211,-0.17617802521616446,0.5388974210784476,0.048838544054345,0.26643014472411136,-0.25865395136909075,-0.11592032824792636,0.06342509787733988,-0.07092417715844179,-0.011752991177895456,0.02537491171815994,0.016411353132656806,-0.000758453261900013,-0.06386195503320678,0.04665304217233229,0.015145705984107687,-0.0008577743460873519,-0.014142937614194339,0.0014938371433825606,-0.0068889335790857445,-0.011877527640035964,0.0615017175103824,0.07450303694323351,0.016151089899204055,-0.008943932955864225,-0.0073755402525847655,-0.009573693729421889,-0.006366416100391174,-0.003752938461778439,-0.015638980599635477,-0.006784668861628877,-0.02275288002533278,0.033211214693558956,0.026454894726179783,-0.009481596976952056,0.007105011290411911,0.007827562385542688,0.004147024074254387
num__Age at enrollment,0.012945392339260287,-0.21496295838504698,0.14528431642529813,-0.15787615642953115,0.16362871865860923,0.21988172027129704,0.3041674924608512,0.4860662458031722,0.047187824889220596,-0.10912946841441287,-0.12598809532380692,0.017020059946343143,0.031662372590396094,0.0877159048853155,0.033644345036993484,-0.33501500411321217,-0.0716098894144345,0.04474118424795398,-0.18182254630672773,-0.0006439865498652081,0.12999237722619075,-0.007264565040603849,0.0033007835161368657,-0.023948290744782334,-0.04514986382510677,-0.028283697973455414,-0.1565041602145538,0.10639452698252605,-0.10266196953107518,0.052055480943846946,-0.06597811027542819,-0.022112289065761376,-0.049959345829588706,0.01671947645810007,0.06181063130751035,-0.011360759418821455,-0.03908298596453827,-0.04154396805238005,0.017283046090467376,-0.06412939393729965,-0.10731287539816864,-0.011600889001476686,0.12490587909570236,-0.1476279771881531,0.02492481712460544,0.0799496542163461,0.03794392135195848,-0.04426358745882502,-0.07710952493459422,0.00976603721187712
num__Curricular units 1st sem (credited),0.1829514059685441,-0.03988696619162753,0.39833799529778735,-0.1767244045435873,0.06044383569097999,0.006049531363625321,-0.14377059305944756,-0.03759605797384302,-0.0081624070868229,0.02092869559158314,-0.041931529510510726,-0.09612761860121452,-0.037500693557777784,-0.10561370996791578,0.006914546026503869,0.10524353359073836,0.08260805243490678,0.10603032024679865,0.07576187628483542,-0.20686596562988907,0.13075819809144573,0.07657973615603046,-0.10455596653508548,-0.015128969179963911,0.008952576031778531,-0.03697122240569082,-0.0915008949428091,-0.05082024544869355,-0.038658762400873646,0.06726558694943775,0.05521688924928523,-0.01448971888527966,-0.01624658795469536,0.011831509127547182,0.01034043059384555,-0.02086711321249065,0.03087970791286733,0.011301500840962363,-0.010726400074953051,0.0035439515746833322,-0.009898657821829682,0.029337985928902004,-0.026064197929116753,-0.035104705589215496,-0.017185623928972084,0.021502818705555118,0.0015484900952914132,0.019300820546925977,0.04037498375113742,-0.014673009163905513
num__Curricular units 1st sem (enrolled),0.2899902307385165,-0.09707084845873679,0.17436652415499954,-0.12382759173312402,0.03912763790367313,0.027090973516473986,-0.12933652134841503,-0.13204507186543693,0.0017462856371031413,0.055456641989916594,-0.13373272452608853,0.00615779894613977,0.003643193727896177,0.038102061704207185,-0.013203434476481535,-0.04414200430972455,-0.06792748272959935,-0.06098017089404037,-0.01967308142158567,0.09513654196976028,-0.036277870346985854,-0.04224111839036554,0.09016816223893248,-0.01191358377148296,0.011904645602511872,0.007395642749599848,0.12494160320756517,0.14608369412074054,-0.04044445841741304,0.020575132649299152,0.04079785579075006,-0.01260091552771387,-0.07513018790991932,0.02229332629476337,-0.027729210406494682,0.049074436812953606,-0.009244733334267188,-0.018654356974993205,-0.0011689152810026066,0.03141709271474151,-0.006877222912766587,-0.09847572427325715,-0.011027460282451385,0.00554278040398716,-0.0061721372188820265,-0.11889865665476258,0.03164799884359319,0.027677075405090734,-0.012724812297777652,-0.03339259177583856
num__Curricular units 1st sem (evaluations),0.2451851961338762,-0.11943123767666575,0.15223087303050054,-0.008367886993609241,-0.044773293068550754,-0.08586747406730028,0.07404664976744821,-0.04368959121700869,-0.04440904240621869,-0.10332086202305096,0.41305879878175644,0.32416145524726203,0.0012925535226227525,0.07717460932261258,0.005229185205505943,0.0290627253015162,0.062493244120183936,-0.051686933966566054,-0.025825044083462825,-0.15371103060514185,0.09412636237436356,0.11868668447320097,-0.07053268485838435,0.03503768339245622,-0.09857199498314614,-0.15883146223031888,0.4365281926263872,0.4466145363920438,-0.046355970669966426,0.009558654244336296,-0.08994923014889174,0.05421954310944674,0.05767362675522454,-0.058132727048124756,-0.07174085896496885,-0.03129709105900288,-0.007905356927160198,0.00023400829853049976,0.04723897387555478,0.030525126629996693,0.04250678057072086,0.022472427217208574,-0.01231876816493116,-0.02083423084844531,0.009240129134739608,0.04018822275972453,-0.006568927930188234,-0.05853373139120466,-0.011149618059475369,-0.0068235680224955145
num__Curricular units 1st sem (approved),0.29559004215678064,0.16254489373727388,0.1515983225965563,-0.03665017829530234,-0.06295378024693349,-0.04642112437516471,-0.012375532935527456,0.005295252349849181,0.022461708357382176,0.00020110730651815012,-0.1610098022047421,-0.14094660997645456,-0.011225972095456963,0.017385427648983837,-0.013666081628936413,-0.04209183876457222,-0.06922507861609231,-0.040037982785046125,-0.02940871760981105,0.0770694048475485,-0.05972205983268777,-0.0403776802588546,0.058224289790282074,0.02332707036131247,-0.0462303138914901,-0.005942065423944813,0.08309402323709009,0.025037718842017012,0.06855124042077237,-0.0870842153886684,-0.11789231609902856,0.046634876576851836,0.08787985311953236,-0.0544740220813787,0.02175390650644516,-0.03817896880611668,0.0011068181964371676,0.0033806360010631316,0.026510661458429754,0.021880486174650896,-0.007026953975063116,0.011294862126677248,0.011910604272126885,0.0019617289212131607,-0.00812943118138718,0.01780395579853131,-0.004571724436915739,-0.015016415933732971,0.012636074849961931,-0.02361592859484317
num__Curricular units 1st sem (grade),0.2605991307311893,0.16451521649480327,-0.12240683622700288,0.09703485405321971,-0.22966474667374048,-0.09423770250082711,0.15445886562865302,0.16344164249713003,0.040550343042456014,-0.0840631568569596,0.003726592998125333,0.10521138659375895,0.05693580450074753,-0.11020057217280294,-0.014379810546900141,0.019439795941018065,0.014786980221850043,0.0586630725592199,0.09121264822288692,-0.0540253882680245,0.06977652430244177,0.011701340464741503,0.04030682191915404,-0.06673671492631492,0.08694264171405947,0.027868609003358417,-0.07053331160869863,-0.006270015179394063,-0.13000032192640285,0.14598515089640055,0.27694656876695883,-0.04961802821237961,-0.19196155798026673,0.10290579004220256,-0.008163408543137584,-0.01565529909144856,0.004034720745148029,0.03508694678596215,-0.027556010023898556,-0.014193357502014683,0.024172197429172926,-0.05753546218647734,-0.008972457591605462,0.011367204255641684,0.009312762397492345,-0.06358399214795156,0.03445392089755722,0.007363259035937986,-0.006689994438822039,-0.0011786134647720058
num__Curricular units 1st sem (without evaluations),0.01996042148506341,-0.19131750082356389,0.18015617141111895,0.4248753568644148,0.021869019411989377,-0.009351494019619183,-0.08492216594720664,-0.055577735684203315,0.01780109530806106,-0.40277981000425345,-0.022417119253989176,-0.08996294449055878,0.16527017228462335,0.038871493946195074,-0.0011861704947343787,0.006294785572416334,-0.0660327931282831,-0.032409333496054266,-6.102408370327328e-05,0.04195526399020867,-0.06647263518404148,-0.01022028345686701,0.05172433138605241,0.026831795168416883,0.006795908101739245,-0.013641607063525747,0.000701767448794105,-0.02149417198722324,-0.01051257413195891,0.0787176760093934,0.03636095395662978,-0.11968766053019589,0.008950690626494078,0.040954054218606754,-0.16546577633049953,0.4614160700657849,-0.09315530175970146,-0.24738906349360837,0.004992727321889601,-0.08211597505698154,-0.035635040605284087,0.013244481732410836,-0.03364422014493201,-0.012880880172303849,0.024303015581814406,0.0067239768221180815,0.029362586467986493,0.03259230791507082,0.026116370832475456,-0.009832572289664087
num__Curricular units 2nd sem (credited),0.18186662144979657,-0.03656499594143578,0.39527209140008235,-0.16239206320586802,0.10167571566163736,0.014169121652235606,-0.14259108906400844,-0.06335413928912097,-0.015404075109164528,0.042116254838615697,-0.06628734474994447,-0.002006564103334052,-0.007779066573048596,-0.13851411812625763,0.017953128942936297,0.12251482657824558,0.07679369330896849,0.10517031597843893,0.06019712200055184,-0.1800523205362101,0.1014201239344969,0.08167094886333295,-0.1159043133964518,-0.022021817075612987,0.051758109949780924,0.01797023932509889,-0.2075024179318809,-0.16140602385827357,-0.035289151941545416,0.06733463275000165,0.06019476414069225,-0.053434672648446216,-0.004546762715970702,0.04839124832774414,0.053129750543764745,0.030827251835839366,0.0099323983507578,0.01554627010367584,-0.012509298868668755,-0.02447673327131867,0.016481797279059837,0.06070841141882985,-0.013793105829070096,0.0357135995663873,-0.06481059815810666,0.015875110030899055,0.025744006144774068,-0.01110179057434532,0.03739999913559478,0.055239842506009385
num__Curricular units 2nd sem (enrolled),0.29363736144319297,-0.09368307346753614,0.10461846094187206,-0.08767112648786116,0.06441610563658617,0.05034573007744353,-0.12582517004406502,-0.16984770011766323,-0.031532894195015225,0.07051308858897953,-0.1716825193510047,0.09126272418658511,0.07255158311312426,0.05245218997002876,-0.01967881579467498,-0.09942228261411559,-0.10918783466627734,-0.08889263170767889,-0.04739493495787363,0.232248322022072,-0.12967706884279168,-0.10483433811972685,0.12280860207455901,-0.010922056941778488,0.05773521224268191,0.08067703967404438,-0.01890342007125348,-0.01821392831108394,0.00427750997982862,-0.020206976464277913,0.10731194554485438,-0.007322177081337561,-0.1344834957771591,0.04514094050668517,-0.022026917997153964,-0.05267970774077679,-0.011131083910590492,0.07363764853431272,-0.03292979849070006,0.009000806592215707,0.04417542695557026,-0.05140173488948368,0.04607282172670894,0.0581772233193997,0.052648753619732286,-0.058008357331464505,-0.011618736833136772,0.011622030889489446,-0.047993992565367134,0.011898181624581262
num__Curricular units 2nd sem (evaluations),0.24877489896145347,-0.07021080537030389,0.094930671482947,0.016327600848852753,-0.07500630311458589,-0.12063085073675192,0.06787875645370017,0.0055714957991833,-0.04139135386104742,0.00968661630883716,0.5209684257860314,0.25601149457359673,-0.0069629048262054155,0.23724757202263003,0.01994269991742026,-0.08873026477594334,0.016300055546276893,-0.13811020623458764,-0.1248889767637618,0.15734958239982533,-0.10935912325851829,-0.09169958764511213,-0.048679184351514304,0.069395972114975,0.022027346826841356,0.05902723955740367,-0.3350914785189585,-0.42104031009965315,0.11869753225235183,-0.10694269944738245,-0.1283364412485294,0.002564608790828954,0.0678163219197292,-0.016319710661407832,0.097243293108881,-0.03866801858062753,0.0021030740306288015,-0.03333484820692248,-0.010747204019464114,-0.024151506949664475,-0.052995674533995216,0.013688953544016405,0.015935919579521864,-0.02193634834952372,0.0027007186991532747,0.005924018322144162,0.0031641034535589696,0.042760161779716324,-0.006370443557081856,-0.00449635986070266
num__Curricular units 2nd sem (approved),0.2814420674376189,0.2113706080683446,0.08718456161308602,0.05089591115634746,0.14776968398973014,0.04958544959221284,-0.014252934528239058,-0.03759589844900608,0.00447605530821632,0.018425962332467183,-0.1933721956182045,0.1093989844558205,0.08206366133239645,-0.064256669898987,-0.02332614144417794,-0.028833867215219633,-0.05675470368943937,-0.004198895716505141,-0.014436849191108728,0.061763259518402086,-0.05360765223826726,-0.032443474458620336,0.049946086914213095,0.017091209913282335,-0.041887978957031904,-0.0021539583980594162,0.04561771805131785,-0.011556190258382117,0.07014784851241326,-0.08411113345620105,-0.12937192316546275,0.04057193950771388,0.08074775972035629,-0.05113664183151309,0.02704977688179225,-0.04186249595609956,-0.002976059918971957,-0.0003829130844593964,0.025883002885098483,0.013914198161937674,-0.008406992253483445,0.008762028280630593,0.01769954055317409,-0.0003533203209104552,-0.007239413173209752,0.018860594008652695,-0.003720735690412258,-0.017493812618518206,0.009965738614138228,-0.021165941931319047
