Component,Explained variance,Cumulative variance
1,0.22684047616470432,0.22684047616470432
2,0.11448621587775197,0.3413266920424563
3,0.0866213614280312,0.4279480534704875
4,0.07143705519769415,0.49938510866818164
5,0.04416202606881274,0.5435471347369943
6,0.04091929182017497,0.5844664265571693
7,0.03589061338581562,0.620357039942985
8,0.034466024851560285,0.6548230647945452
9,0.027368878252469087,0.6821919430470142
10,0.025957142892300812,0.708149085939315
11,0.020894233472931827,0.7290433194122469
12,0.018121858264787273,0.7471651776770342
13,0.017032301459215696,0.7641974791362499
14,0.013127909990277761,0.7773253891265277
15,0.011590059486304784,0.7889154486128325
16,0.010769456575514232,0.7996849051883467
17,0.010537076185257248,0.8102219813736039
18,0.009348595336648268,0.8195705767102521
19,0.008477356055585009,0.8280479327658371
20,0.0078015171344580254,0.8358494499002951
21,0.007196893970437609,0.8430463438707327
22,0.0069235968777700465,0.8499699407485027
23,0.006590818914622293,0.8565607596631251
24,0.005910090023959689,0.8624708496870848
25,0.00538151692014191,0.8678523666072266
26,0.005261882296312762,0.8731142489035394
27,0.005098103029890457,0.8782123519334298
28,0.005017820717969084,0.8832301726513989
29,0.004808745957199105,0.8880389186085981
30,0.004694530379672268,0.8927334489882703
31,0.004497322978164888,0.8972307719664352
32,0.004192746388330966,0.9014235183547662
33,0.0039391117134352565,0.9053626300682015
34,0.003816768757974573,0.909179398826176
35,0.003741310760580258,0.9129207095867563
36,0.0034217985780183053,0.9163425081647746
37,0.003237074388929699,0.9195795825537043
38,0.003163915789807074,0.9227434983435114
39,0.0029171967965697875,0.9256606951400812
40,0.002824442699115208,0.9284851378391964
41,0.0027621525736492114,0.9312472904128456
42,0.0025444534660029913,0.9337917438788486
43,0.002491529037331975,0.9362832729161805
44,0.0023793402335599207,0.9386626131497404
45,0.0023141403365928206,0.9409767534863333
46,0.0022105177186666765,0.9431872712049999
47,0.002158549217113127,0.945345820422113
48,0.0020728775535445425,0.9474186979756576
49,0.002036916423424824,0.9494556143990824
50,0.0019801227414020122,0.9514357371404845
