Feature,Importance,Repeat SD
Curricular units 2nd sem (approved),0.17061107451414145,0.018998638940647582
Curricular units 1st sem (approved),0.06056819811353431,0.004806133284567811
Tuition fees up to date,0.036308063591802255,0.008753812246324448
Curricular units 2nd sem (grade),0.017971461317198623,0.009261322150488794
Age at enrollment,0.011903676620504,0.00898081506244063
Curricular units 2nd sem (evaluations),0.008882615664396831,0.006285245437932655
Curricular units 1st sem (enrolled),0.007977179817650226,0.00561563558713865
Scholarship holder,0.005268751831648544,0.005473132195385264
Unemployment rate,0.004608439562828082,0.004207708934916372
Curricular units 1st sem (grade),0.004495026626917498,0.004405877037334982
GDP,0.004351336160515418,0.0015796980639860442
Debtor,0.004277643545671417,0.00248434700411406
Curricular units 2nd sem (enrolled),0.003783530589411299,0.004205209092385916
Displaced,0.0032184576425833057,0.0013293349300066962
Gender,0.002200274677534342,0.0024978987017207233
Curricular units 1st sem (without evaluations),0.0020059352532927122,0.0005475696415494655
Curricular units 2nd sem (without evaluations),0.001519390650770802,0.0004645234752538633
Course,0.0013252870533709826,0.002044423908235778
Mother's occupation,0.000993688629951861,0.0028815330981433137
Curricular units 1st sem (evaluations),0.0006642081262945076,0.0036585151972332417
Daytime/evening attendance,0.00014030095081922765,0.0017986419880953396
Mother's qualification,9.437412548221057e-05,0.0029389300512839235
Educational special needs,0.0,0.0
International,0.0,0.0
Curricular units 2nd sem (credited),-0.0003289509123136636,0.0004048087706784573
Marital status,-0.0004299426662008887,0.0017129652663021822
Inflation rate,-0.00047609378956350314,0.0032086954939379627
Nacionality,-0.0007818988446085306,0.0009576265998813069
Application mode,-0.0008107295915124712,0.0010199025169809414
Admission grade,-0.0015283020182124795,0.003984248379394568
Father's occupation,-0.0015298784115794772,0.0032211001768981105
Previous qualification,-0.0017169298782848674,0.0008277201947137651
Previous qualification (grade),-0.001773450308991964,0.0033945897344446413
Curricular units 1st sem (credited),-0.0022777072148612463,0.0003998697740788668
Father's qualification,-0.0027356644908830053,0.0011970109346132673
Application order,-0.0035221285708227023,0.0002960464631866023
