,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Previous qualification (grade),1.0,0.584624292388316,-0.14471315189992304,0.009901046333808507,0.03511450465253973,-0.06939752153250768,0.092705545686698,0.18215989943538938,0.003187455801708642,-0.0013683862628106034,0.03603661535492079,-0.06129772646033716,0.0816664699132274,0.15298558218601663,-0.01629508486632209,0.04813738491867283,0.01919144180843192,-0.07247340741848794
Admission grade,0.584624292388316,1.0,-0.10175728905459384,0.07515485471195131,-0.005681467377366738,-0.09490126267065871,0.10008570566212792,0.20884644040243153,-0.00010311124199564078,0.07528289046955926,0.0011619662816702457,-0.061483345302432255,0.09904929210266722,0.1885102994476675,-0.023679370479676803,0.02667245813860385,-0.018256671603435453,-0.04020669283476537
Age at enrollment,-0.14471315189992304,-0.10175728905459384,1.0,0.2988538727489568,0.0008043591374666159,0.17056494747581166,-0.1657804338108037,-0.20991607371376805,0.060933894390890773,0.30059463417982046,-0.031458293684385935,0.0827095410989638,-0.1879839858953468,-0.21346966691465835,0.0944936960053899,0.018599640951552903,0.01818127923994442,-0.056524222468257584
Curricular units 1st sem (credited),0.009901046333808507,0.07515485471195131,0.2988538727489568,1.0,0.423096304783119,0.366472459109556,0.361512099194408,0.10075815494771917,0.10002425919847877,0.9142616043247871,0.37610443548556965,0.3305360467331499,0.2887958434533534,0.09347431669453142,0.06394001951242013,0.024183997298328517,-0.0018228731830934473,0.021784127077811202
Curricular units 1st sem (enrolled),0.03511450465253973,-0.005681467377366738,0.0008043591374666159,0.423096304783119,1.0,0.4202415677320243,0.7065549064039629,0.36319818070253607,-0.018756910394367752,0.4401186224689489,0.9618260766381487,0.4312848459958387,0.6531982316851481,0.35146468602650865,-0.02060039732015466,0.10833550069354173,0.016872824749519264,0.017964618508841554
Curricular units 1st sem (evaluations),-0.06939752153250768,-0.09490126267065871,0.17056494747581166,0.366472459109556,0.4202415677320243,1.0,0.2620628255055291,0.11194466347441641,0.20205577863461885,0.36934187186069506,0.3857198102125873,0.6936033939481563,0.2515938364812047,0.09017702744172149,0.15275735536814433,0.06703674115235711,-0.03972103918169996,-0.09670041515103632
Curricular units 1st sem (approved),0.092705545686698,0.10008570566212792,-0.1657804338108037,0.361512099194408,0.7065549064039629,0.2620628255055291,1.0,0.639785334777196,-0.06889695309641272,0.36694074511778474,0.6994285992551942,0.3643367712157441,0.8916792101746502,0.6628254662582345,-0.07344384782187921,0.07428831187772258,-0.002489608080401293,0.059291899855473895
Curricular units 1st sem (grade),0.18215989943538938,0.20884644040243153,-0.20991607371376805,0.10075815494771917,0.36319818070253607,0.11194466347441641,0.639785334777196,1.0,-0.01693009390976386,0.09686049498056301,0.36800410091538355,0.18192446507125873,0.628588247533263,0.7623560353227239,-0.04666918682738859,0.04500440381885736,-0.037431040273354595,0.09184323642394623
Curricular units 1st sem (without evaluations),0.003187455801708642,-0.00010311124199564078,0.060933894390890773,0.10002425919847877,-0.018756910394367752,0.20205577863461885,-0.06889695309641272,-0.01693009390976386,1.0,0.05869481694811713,-0.03237154602816031,0.09625209259832429,-0.05459836473551654,-0.04076447948064241,0.3835516683153977,-0.0668778140688769,-0.06786564944958791,-0.18358206015500905
Curricular units 2nd sem (credited),-0.0013683862628106034,0.07528289046955926,0.30059463417982046,0.9142616043247871,0.4401186224689489,0.36934187186069506,0.36694074511778474,0.09686049498056301,0.05869481694811713,1.0,0.41355955190211713,0.34231008290653187,0.31916792109178943,0.10337937599398898,0.08237172719883575,0.012190236013783138,-0.0005300532305817389,0.023758275200439497
